State,Item Code,Item Name,Category,Sub-Category,Leaf Category,Brand,Product Type,Marketd By,Master Catgory
JH,8653,Nestle Milkybar Its Yummy | 12.5g | Pack of 1,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Nestle Milkybar,White Chocolate,Nestle India,FMCGF
JH,10670,Milkybar Moosha Caramel & Nougat Bar 18g,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Nestle,White Chocolate,Nestle India,FMCGF
JH,2781,Kinder Joy Surprise Growing Generation | 20g | Pack of 1,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Kinder Joy,Wafer Chocolate,Ferrero India,FMCGF
JH,71086,Cadbury Perk Double Chocolate Bar 18.2g,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Perk,Wafer Chocolate,Mondelez India Foods,FMCGF
JH,2811,Nestle Kitkat | 28.5g | Pack of 1,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Nestle KitKat,Wafer Chocolate,Nestle India,FMCGF
JH,2934,Nestle Munch 17.4g,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Nestle Munch,Wafer Chocolate,Nestle India,FMCGF
JH,2930,Nestle KitKat 2 Finger 11.9g,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Chocolates,Nestle KitKat,Wafer Chocolate,Nestle India,FMCGF
JH,13368,Bambino Vermicelli 80g,Packaged & Instant Food,Noodles & Instant Food,Vermicelli,Bambino,Vermicelli,Bambino Agro Industries,FMCGF
JH,86683,Kissan Fresh Tomato Ketchup | 1.1 Kg | Pack of 1,Packaged & Instant Food,Ketchup & Spread,Tomato Ketchup,Kissan,Tomato Ketchup,HUL,FMCGF
JH,3063,Kissan Fresh Tomato Ketchup | 415g | Pack of 1,Packaged & Instant Food,Ketchup & Spread,Tomato Ketchup,Kissan,Tomato Ketchup,HUL,FMCGF
JH,3076,Kissan Fresh Tomato Chhotu | 90g | Pack of 1,Packaged & Instant Food,Ketchup & Spread,Tomato Ketchup,Kissan,Tomato Ketchup,HUL,FMCGF
JH,12833,Tata Tea Agni | 1 Kg | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Tata Tea,Dust Tea,Tata Consumer Products,FMCGF
JH,2494,Tata Tea Elaichi Chai 250g | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Tata Tea,Dust Tea,Tata Consumer Products,FMCGF
JH,2496,Tata Tea Gold | 500g | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Tata Tea,Dust Tea,Tata Consumer Products,FMCGF
JH,2477,Brooke Bond Red Label Tea 250g | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Brooke Bond,Dust Tea,HUL,FMCGF
JH,2491,Tata Tea Agni | 250g | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Tata Tea,Dust Tea,Tata Consumer Products,FMCGF
JH,2495,Tata Tea Gold 250g | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Tata Tea,Dust Tea,Tata Consumer Products,FMCGF
JH,2476,Brooke Bond Red Label Tea 100g,Beverages,"Tea, Coffee & Milk Drink",Tea,Brooke Bond,Dust Tea,HUL,FMCGF
JH,1132,Brooke Bond Taaza Tea | 250g | Pouch | Pack of 1,Beverages,"Tea, Coffee & Milk Drink",Tea,Brooke Bond,Dust Tea,HUL,FMCGF
JH,1131,Brooke Bond Taaza Tea 90g,Beverages,"Tea, Coffee & Milk Drink",Tea,Brooke Bond,Dust Tea,HUL,FMCGF
JH,4834,Parle Krackjack Biscuit | 176.4g | Pack of 1,Biscuits & Snacks,Biscuits & Cookies,Sweet & Salty Biscuits,Parle,Flavoured Biscuits,Parle Products,FMCGF
JH,78546,Parle Hide & Seek Assorted Biscuits | Buy 3 Get 1 Free | 400g | Pack of 4,Biscuits & Snacks,Biscuits & Cookies,Cookies,Parle Hide & Seek,Flavoured Biscuits,Parle Products,FMCGF
JH,1089,Britannia Little Hearts Classic Biscuits | 70g | Pack of 1,Biscuits & Snacks,Biscuits & Cookies,Sweet & Salty Biscuits,Little hearts,Flavoured Biscuits,Britannia Industries Ltd.,FMCGF
JH,1088,Britannia Little Hearts | 26g | Pack of 1,Biscuits & Snacks,Biscuits & Cookies,Sweet & Salty Biscuits,Britannia,Flavoured Biscuits,Britannia Industries Ltd.,FMCGF
JH,84,Chings Dark Soya Sauce Pouch | 90g | Pack of 1,Packaged & Instant Food,Ketchup & Spread,Chinese Sauce,Chings,Soya Sauce,Tata Consumer Products,FMCGF
JH,22219,Knorr Manchow Veg Soup | 11g | Pack of 1,Packaged & Instant Food,Noodles & Instant Food,Soup,Knorr,Soup (Vegetable),HUL,FMCGF
JH,3098,Knorr Hot & Sour Veg Cup A Soup | 10.5g | Pack of 1,Packaged & Instant Food,Noodles & Instant Food,Soup,Knorr,Soup (Vegetable),HUL,FMCGF
JH,4675,Kinley Soda Club | 750ml | Pack of 1,Beverages,Drinks & Juices,Water & Soda,Kinley,Soda,Coca-Cola,FMCGF
JH,10049,Haldirams Soan Papdi Yellow 250g,"Chocolates,Desserts & Sweets",Chocolates & Sweets,Sweets & Mithai,Haldiram's,Soan Papdi,Haldiram Snacks Food Private Limited,FMCGF
JH,92,Chings Schezwan Chutney | 250g | Pack of 1,Packaged & Instant Food,Ketchup & Spread,Chutney & Pickles,Chings,Schezwan Chutney,Tata Consumer Products,FMCGF
