source,ITEM_CODE,DISPLAY NAME,MASTER CAT,TYPE,Tag
FMCGF,97077,Savlon Moisture Shield Hand Wash 650ml x 2 BOGO,fmcgnf,BOGO,yes
FMCGF,15867,Stan Fresh Super Lemon Disinfectant Floor Cleaner 1 Ltr BOGO,fmcgnf,BOGO,yes
FMCGF,96345,Joy Skin Fruits Spots & Tan Clear Face Wash 100ml BOGO,fmcgnf,BOGO,yes
FMCGF,96346,Joy Skin Fruits Brightening Face wash 100ml BOGO,fmcgnf,BOGO,yes
FMCGF,16930,Joy Pure Neem Skin Purifying Face Wash 100ml BOGO,fmcgnf,BOGO,yes
FMCGF,90929,Eagle Super Toilet Cleaner 500 ml BOGO,fmcgnf,BOGO,yes
FMCGF,96347,Joy Skin Fruits Softening Glow Face Wash 100ml BOGO,fmcgnf,BOGO,yes
FMCGF,3561,He Advanced Grooming Respect Perfumed Body Spray | 300ml | BOGO,fmcgnf,BOGO,yes
FMCGF,96438,Stan Fresh Liquid Hand Wash Neem With Green Tea (750 ml +750ml) BOGO,fmcgnf,BOGO,yes
FMCGF,96393,Stan Fresh Sandal Liquid Handwash 750 ml BOGO,fmcgnf,BOGO,yes
FMCGF,4732,Himalaya Purifying Neem Face Wash | 200ml | Buy 1 Get 1 Free,fmcgnf,BOGO,yes
FMCGF,102592,"Lacto Calamine Daily Cleansing Face Wipes - Aloe Vera, Cucumber & Vitamin E | 25 pcs | Buy 1 Get 1 Free",fmcgnf,BOGO,yes
FMCGF,30383,Beardo Oil Control Neem Facewash | 100 ml | Buy 1 Get 1,fmcgnf,BOGO,yes
FMCGF,11114,Sanifresh Bathroom Cleaner | 450ml | Buy 1 Get 1 Free,fmcgnf,BOGO,yes
FMCGF,102049,VLCC Natural & Herbal Henna Hair Shine & Darkens Hair Colour | 120g | Buy 1 Get 1,fmcgnf,BOGO,yes
FMCGF,84212,VLCC Dandruff Care & Control Shampoo 350ml + 350ml Buy 1 Get 1 Free,fmcgnf,BOGO,yes
FMCGF,102735,Signature Premium Deo Talc | Cocktail | 100g | Buy One Get One,fmcgnf,BOGO,yes
FMCGF,10573,Spinz Enchante Talc Buy 1 Get 1 Free | 200g | Pack of 1,fmcgnf,BOGO,yes
FMCGF,102734,"Signature Premium Deo Talc | Black Jack | 100g | Buy One Get One
",fmcgnf,BOGO,yes
FMCGF,28479,Mysore Sandal Freshnol Perfumed Phenyl Disinfectant Liquid 1 Ltr B1G1,fmcgnf,BOGO,yes
FMCGF,76105,Stan Fresh Super 6 In One Rose Toilet Cleaner B1G1 500 ml,fmcgnf,BOGO,yes
FMCGF,76103,Stan Fresh Anti Germ Dish Wash Gel B1G1 500ml Bottle,fmcgnf,BOGO,yes
