source,Region,Key,item_code,display_name,Markup/gkm,KVI,category,sub_category,leaf_category,PRODUCT TYPE,brand,Unit wt,Total_Inventory,Last_90day_qty_Sold,Last_90day_Sale,Last90daysale_stores_cnt,latest_MRP,CP,latest_selling,gm%,Guardrail LOWER,GUARDRAIL HIGHER,SATELLITE LOW,SATELLITE HIGH
STPLS,CG,CG97393,97393,Basil Seeds 50g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,BASIL SEEDS,ASM,0.05,576,237,6377,31,39,11,29,62%,60%,65%,,
STPLS,CG,CG645,645,Almond Badaam 100g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.1,318,2260,269895,33,169,86,125,31%,30%,35%,,
STPLS,CG,CG646,646,Almond Badaam 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.25,594,1700,459530,33,379,216,285,24%,20%,25%,25%,30%
STPLS,CG,CG647,647,Almond Badaam 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.5,450,786,369828,32,649,431,499,14%,15%,20%,,
STPLS,CG,CG104239,104239,Almond Badaam Popular 500g,cost based,KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.5,889,1290,542954,33,559,368,429,14%,10%,15%,12%,17%
STPLS,CG,CG90023,90023,Almond Premium 100g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.1,359,732,105015,33,189,105,145,28%,30%,35%,,
STPLS,CG,CG90024,90024,Almond Premium 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.25,546,566,174317,32,419,263,320,18%,20%,25%,,
STPLS,CG,CG93839,93839,Almonds | Pack of 1,GKM Based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,ASM,0.02,143,4072,81440,33,20,17,20,15%,15%,20%,,
STPLS,CG,CG37131,37131,Apis Arabian Pearls Fard Dates 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Apis,0.5,179,110,26840,27,262,196,244,20%,20%,25%,,
STPLS,CG,CG73349,73349,Apis Deseeded Dates 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Apis,0.5,321,94,11848,27,136,102,126,19%,20%,25%,,
STPLS,CG,CG92487,92487,Apis Royal Zahidi Premium Dates 250 g B1G1,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Apis,0.5,188,319,43065,33,145,109,135,19%,20%,25%,,
STPLS,CG,CG89706,89706,Apis Royal Zahidi Premium Dates 500 g B1G1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Apis,1,123,156,39156,31,270,203,251,19%,20%,25%,,
STPLS,CG,CG90025,90025,Basil Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,BASIL SEEDS,ASM,0.1,244,156,7552,30,69,21,49,57%,55%,60%,,
STPLS,CG,CG97217,97217,Bolas Cashew Nuts 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,Bolas,0.25,119,231,73910,31,439,235,320,27%,25%,30%,,
STPLS,CG,CG95138,95138,Bolas Cashew Nuts 500 g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,Bolas,0.5,161,144,80640,30,889,436,560,22%,15%,20%,,
STPLS,CG,CG97216,97216,Bolas Cashew Value Pack 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,Bolas,0.5,111,54,28265,27,749,426,540,21%,15%,20%,,
STPLS,CG,CG95151,95151,Bolas Fard Dates | 500g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Bolas,0.5,496,149,38607,29,280,183,259,29%,25%,30%,,
STPLS,CG,CG95142,95142,Bolas Indian Raisins 250 g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Bolas,0.25,152,231,48081,32,249,162,210,23%,25%,35%,,
STPLS,CG,CG95143,95143,Bolas Indian Raisins 500 g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Bolas,0.5,735,160,54328,28,499,313,399,22%,20%,25%,,
STPLS,CG,CG103884,103884,Bolas Panchameva Mixed Dryfruits | 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Bolas,0.25,92,295,84666,33,340,204,289,29%,25%,30%,,
STPLS,CG,CG103885,103885,Bolas Panchameva Mixed Dryfruits | 500g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Bolas,0.5,163,144,75756,30,675,396,529,25%,25%,30%,,
STPLS,CG,CG95149,95149,Bolas Popular Anjeer | 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Anjeer,Bolas,0.25,163,394,189159,33,560,258,480,46%,40%,45%,,
STPLS,CG,CG95146,95146,Bolas Raw Chia Seeds 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,CHIA SEEDS,Bolas,0.2,171,349,59330,32,175,98,170,42%,40%,45%,,
STPLS,CG,CG95147,95147,Bolas Raw Flax Seeds 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,FLAX SEEDS,Bolas,0.2,206,180,11700,30,65,62,65,5%,35%,40%,,
STPLS,CG,CG95144,95144,Bolas Raw Pumpkin Seeds | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,PUMPKIN SEEDS,Bolas,0.2,161,237,52140,31,229,134,220,39%,40%,45%,,
STPLS,CG,CG95145,95145,Bolas Raw Sunflower Seeds 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SUNFLOWER SEEDS,Bolas,0.2,144,136,19653,31,125,71,145,51%,50%,55%,,
STPLS,CG,CG95141,95141,Bolas Roasted And Salted Pista | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Bolas,0.2,204,567,187367,33,475,260,339,23%,25%,30%,,
STPLS,CG,CG95139,95139,Bolas Royal Almonds | 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Bolas,0.25,213,265,76457,31,429,236,299,21%,25%,30%,,
STPLS,CG,CG95140,95140,Bolas Royal Almonds | 500g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Bolas,0.5,134,142,75880,28,859,458,560,18%,20%,25%,,
STPLS,CG,CG103980,103980,Bolas Walnut Chef Secret | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,WALNUT KERNELS,Bolas,0.2,94,277,123156,33,449,285,449,37%,20%,25%,,
STPLS,CG,CG95148,95148,Bolas Walnut Kernels 200 g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,WALNUT KERNELS,Bolas,0.2,20,221,117250,32,595,399,540,26%,25%,30%,,
STPLS,CG,CG93836,93836,Cashew Pack | Pack of 1,GKM Based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,ASM,0.02,1173,6979,139580,33,20,18,20,10%,15%,20%,,
STPLS,CG,CG76733,76733,Chia Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,CHIA SEEDS,ASM,0.1,140,743,36087,33,69,29,47,38%,50%,55%,,
