source,KEY,STATE,STATE KEY,item_code,display_name,master category,KVI / NKVI TAG
FMCGF,JH2405,JH,1,2405,Aashirvaad Shudh Chakki Atta 5 Kg,STPLS,Super KVI
FMCGF,CG2405,CG,3,2405,Aashirvaad Shudh Chakki Atta 5 Kg,STPLS,Super KVI
FMCGF,WB2405,WB,2,2405,Aashirvaad Shudh Chakki Atta 5 Kg,STPLS,Super KVI
FMCGF,CG83332,CG,3,83332,Abba Huzur Jsr Lachkari Kolam Rice | 1Kg | Pack of 1,STPLS,Super KVI
FMCGF,JH104239,JH,1,104239,Almond Badaam Popular 500g,STPLS,KVI
FMCGF,WB104239,WB,2,104239,Almond Badaam Popular 500g,STPLS,KVI
FMCGF,CG104239,CG,3,104239,Almond Badaam Popular 500g,STPLS,KVI
FMCGF,CG85877,CG,3,85877,Amul Cow Ghee 500ml Jar,STPLS,KVI
FMCGF,CG927,CG,3,927,Amul Pure Ghee 1 Ltr Tetra,STPLS,KVI
FMCGF,WB927,WB,2,927,Amul Pure Ghee 1 Ltr Tetra,STPLS,KVI
FMCGF,JH930,JH,1,930,Amul Pure Ghee Pouch 500ml,STPLS,KVI
FMCGF,JH82190,JH,1,82190,Baba Premium Usna Rice | 26 Kgs,STPLS,KVI
FMCGF,WB96144,WB,2,96144,Baskati Standard Rice | 1Kg | Loose | Pack of 1,STPLS,KVI
FMCGF,CG95464,CG,3,95464,Basmati Rice Loose 1 Kg,STPLS,KVI
FMCGF,JH9661,JH,1,9661,Basmati Sella Loose Rice 1 Kg,STPLS,KVI
FMCGF,JH95357,JH,1,95357,Brown Chana Small 1 Kg Loose,STPLS,Super KVI
FMCGF,CG99894,CG,3,99894,Brown Jaggery Loose 1kg,STPLS,KVI
FMCGF,JH99894,JH,1,99894,Brown Jaggery Loose 1kg,STPLS,KVI
FMCGF,WB99894,WB,2,99894,Brown Jaggery Loose 1kg,STPLS,KVI
FMCGF,JH93937,JH,1,93937,Chana Dal Loose 1 Kg,STPLS,Super KVI
FMCGF,WB93937,WB,2,93937,Chana Dal Loose 1 Kg,STPLS,Super KVI
FMCGF,CG93937,CG,3,93937,Chana Dal Loose 1 Kg,STPLS,Super KVI
FMCGF,CG95368,CG,3,95368,Chura Poha Loose 1 Kg,STPLS,Super KVI
FMCGF,JH95368,JH,1,95368,Chura Poha Loose 1 Kg,STPLS,KVI
FMCGF,WB95368,WB,2,95368,Chura Poha Loose 1 Kg,STPLS,KVI
FMCGF,JH103734,JH,1,103734,Crunchi Waves Makhana Regular| 250g | Pack of 1,STPLS,KVI
FMCGF,WB103734,WB,2,103734,Crunchi Waves Makhana Regular| 250g | Pack of 1,STPLS,KVI
FMCGF,WB103531,WB,2,103531,Dainik Minikit Rice | 26kg | Pack of 1,STPLS,KVI
FMCGF,JH682,JH,1,682,Dhaniya Gota Sabut - 250g,STPLS,KVI
FMCGF,WB682,WB,2,682,Dhaniya Gota Sabut - 250g,STPLS,KVI
FMCGF,WB10696,WB,2,10696,Dhara Kachi Ghani Mustard Oil 1 Ltr Pouch,STPLS,Super KVI
FMCGF,CG10696,CG,3,10696,Dhara Kachi Ghani Mustard Oil 1 Ltr Pouch,STPLS,KVI
FMCGF,WB12916,WB,2,12916,Emami Healthy And Tasty Refined Rice Bran Oil - 730g,STPLS,KVI
FMCGF,CG2537,CG,3,2537,Everest Turmeric Powder 200g,STPLS,KVI
FMCGF,CG2621,CG,3,2621,Fortune Besan 500g,STPLS,KVI
FMCGF,WB2704,WB,2,2704,Fortune Premium Kachi ghani Pure Mustard Oil 1 Ltr Pouch,STPLS,Super KVI
FMCGF,JH2705,JH,1,2705,Fortune Pure Mustard Oil | 870g Pouch | Pack of 1,STPLS,KVI
FMCGF,CG2694,CG,3,2694,Fortune Refined Sunflower Oil | 800g | Pack of 1,STPLS,Super KVI
FMCGF,WB2694,WB,2,2694,Fortune Refined Sunflower Oil | 800g | Pack of 1,STPLS,KVI
FMCGF,JH2694,JH,1,2694,Fortune Refined Sunflower Oil | 800g | Pack of 1,STPLS,KVI
FMCGF,CG2714,CG,3,2714,Fortune Rice Bran Oil - 750g,STPLS,KVI
FMCGF,JH2714,JH,1,2714,Fortune Rice Bran Oil - 750g,STPLS,KVI
FMCGF,JH2681,JH,1,2681,Fortune Soya Health Refined Soyabean Oil | 750g | Pack of 1,STPLS,KVI
FMCGF,CG76848,CG,3,76848,Fortune Soya Plus Oil | 840g Pouch | Pack of 1,STPLS,Super KVI
FMCGF,WB42934,WB,2,42934,Ganesh Chana Besan 500g,STPLS,KVI
FMCGF,WB13302,WB,2,13302,Ganesh Sooji 500g,STPLS,KVI
FMCGF,CG690,CG,3,690,Golki Kaali Mirch 100g,STPLS,KVI
FMCGF,JH690,JH,1,690,Golki Kaali Mirch 100g,STPLS,KVI
FMCGF,JH8691,JH,1,8691,Gota Garam Masala 50g,STPLS,KVI
FMCGF,WB93959,WB,2,93959,Govind Bhog Raw Rice Loose 1Kg,STPLS,Super KVI
FMCGF,WB4774,WB,2,4774,Gowardhan Cow Ghee Jar - 500ml,STPLS,KVI
FMCGF,CG686,CG,3,686,Green Elaichi 25g,STPLS,KVI
FMCGF,JH686,JH,1,686,Green Elaichi 25g,STPLS,KVI
FMCGF,WB686,WB,2,686,Green Elaichi 25g,STPLS,KVI
FMCGF,CG28473,CG,3,28473,Hareli Refined Rice Bran Oil 1 Ltr,STPLS,Super KVI
FMCGF,JH2698,JH,1,2698,Hathi Kacchi Ghani Mustard Oil 1 Ltr,STPLS,Super KVI
