source,state,item_code,map_value,map_type,map_source,display_name,kvi_tag,mrp,current_sp
FMCGF,Chhattisgarh,8290,2314.5675,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,103537,1795.001,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,82420,1469.163,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,96335,1456.314248,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,81590,1360.23,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,79596,1347.538,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,74191,1335.048,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,79085,1240.852,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,82095,1224.148,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,97245,1149.00022,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,104364,1127.896,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,12090,1017.9225,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,81726,1003.386,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2693,919.79685,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,82190,915.683,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104362,889.632,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,104456,861.989,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,31686,858.9924,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,103540,858,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,69683,848.63415,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,69716,844.64415,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,80971,838.173,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,18410,789.7698529,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,4393,735.9975,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,97250,725.00026,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2428,712.7925,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,103983,694.53195,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,104391,679.5999,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,951,678.4932,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,32997,673.44016,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,34490,650.33325,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,81208,643.93544,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,22776,634.52022,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,9271,631.67642,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,874,617.6205,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,99702,606.7845,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,27535,596.4,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104858,587.0004,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,18367,581.805,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,2497,579.2199,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,95789,577.96305,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,927,572.0358,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,28765,564.9945,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,77738,559.9965,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,927,558.1254,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,22776,550.72724,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,103532,538.9986,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,101480,516.42936,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,99704,507.94695,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,77836,502.07325,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,97247,474.99956,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,1126,468.3819,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,3764,466.5164438,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104183,466.45046,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,1615,453.08865,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,104522,449.06085,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,11527,447.86175,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,647,442.7514,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,945,442.701,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,647,442.1214,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,103541,441,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,935,438.8681769,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11527,438.77925,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2618,434.994,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11294,432.747,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2888,432.7365,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,11294,432.6189,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,1615,430.07475,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,95786,429.996,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,945,427.97475,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,1126,426.75675,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,1615,425.65635,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,104519,420,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2830,418.2906,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,77835,418.00395,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,29860,414.918,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,96350,412.8495,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,96349,412.8369,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,23686,412.7781,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,101113,401.6775,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104240,400.0521,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,104240,399.53865,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,97100,399.5,map_including_gst,NA,,,,
FMCGF,Jharkhand,30243,399.16686,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,103885,395.68935,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,10724,394.5984924,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,68039,394.49406,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2837,393.519,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2837,393.519,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2432,390.999,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,94208,386.7465,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104875,384.3,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,23670,382.5213,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,914,381.4956471,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,103539,380.0328,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,4774,378.3339,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,4774,378.32655,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,103885,377.1201,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104239,376.14885,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,104239,375.53985,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,103982,374.0352,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,10676,373.9995,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,83220,370.9776,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,30203,368.5696329,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,12825,368.4239382,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,104557,365.49765,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,97925,356.95,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,952,347.54895,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,83916,346.2738814,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,14788,344.9817,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Chhattisgarh,70848,344.58165,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,952,343.18095,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,84665,341.71974,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,103297,341.4978,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,11309,340.6977,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,33266,337.9992,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,8283,336.02415,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,35727,329.93154,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,35727,329.7392,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2732,328.188,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,2732,328.17015,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,29427,327.36795,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2732,326.4975,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,822,325.605,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,94206,324.1707,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,4797,322.88235,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2777,320.83275,map_including_gst,MAP_DIRECT,,,,
