source,Key,State,Marketed By,Brand,Item Code,Item Name,System MRP,MRP by Vendor,GKM (TOT Margin),GRN Margin,April invoice Landing,April Offer %,April Offer Rs.,April Final Landing,Promo Type,Category,Sub Category,Leaf Category,Apr 26 invoice Landing,Apr 26 Offer %,Apr 26 Offer Rs.,Apr 26 Final Landing,Offer Link,On Pack Selling Price,KEY,STATE,MRP,% Offer,Rs.Offer,Promo Per Unit,FINAL OFFER VALUE,LATEST INWARD COST,OFF INVOICE ADJUSTED COST
FMCGF,JH17442,JH,Rasna Pvt. Ltd.,Rasna,17442,Rasna Fruit Fun 32 Glass Mango 20g,,47,20.00%,30.64%,37.6,10.64%,5,32.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH27553,JH,Rasna Pvt. Ltd.,Rasna,27553,Rasna Fruit Fun 32 Glass Orange Flavour 20g,,47,20.00%,30.64%,37.6,10.64%,5,32.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH37392,JH,Rasna Pvt. Ltd.,Rasna,37392,Rasna Fruit Plus Insta | 500g | Pack of 1,,170,20.00%,25.88%,136,5.88%,10,126,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH44293,JH,Rasna Pvt. Ltd.,Rasna,44293,Rasna Instant Orange Drink Mix | 500g | Pack of 1,,170,20.00%,25.88%,136,5.88%,10,126,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH17923,JH,Rasna Pvt. Ltd.,Rasna,17923,Rasna Fruit Plus 21 Mango Power Squash 750ml,,150,20.00%,26.67%,120,6.67%,10,110,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH17922,JH,Rasna Pvt. Ltd.,Rasna,17922,Rasna Fruit Juice Fruit Plus Orange Super Squash 750ml,,150,20.00%,26.67%,120,6.67%,10,110,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH93818,JH,GuiltFree Industries,Too Yumm,93818,Too Yumm Smoking Hot Bhoot Potato Chips | 44g | Pack of 1,,20,22%,32.00%,15.6,10%,2,13.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH3210,JH,GuiltFree Industries,Too Yumm,3210,Too Yumm Karare Chilli Achari | 70 g | Pack of 1,,20,22%,32.00%,15.6,10%,2,13.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH76419,JH,GuiltFree Industries,Too Yumm,76419,Too Yumm Multigrain Chips Dahi Papdi Chaat | 70g | Pack of 1,,35,22%,32.00%,27.3,10%,3.5,23.8,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH10356,JH,GuiltFree Industries,Too Yumm,10356,Too Yumm Chips American Style | 35g | Pack of 1,,20,22%,32.00%,15.6,10%,2,13.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH97019,JH,GuiltFree Industries,Too Yumm,97019,Too Yumm Chips American Style Cream & Onion 82g,,45,22%,32.00%,35.1,10%,4.5,30.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH97020,JH,GuiltFree Industries,Too Yumm,97020,Too Yumm Chips Indian Masala | 79 g | Pack of 1,,45,22%,32.00%,35.1,10%,4.5,30.6,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH76416,JH,GuiltFree Industries,Too Yumm,76416,Too Yumm Veggie Stix Chilli Chataka 75g,,35,22%,32.00%,27.3,10%,3.5,23.8,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH97018,JH,GuiltFree Industries,Too Yumm,97018,Too Yumm Veggie Stix Sour Cream & Onion 75g,,35,22%,32.00%,27.3,10%,3.5,23.8,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH28659,JH,Parle Agro,Parle Agro,28659,Frooti Mango Drink 1.2 Ltr,,70,15%,36.43%,59.5,21.43%,15,44.5,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH88674,JH,Parle Agro,Parle Agro,88674,Frooti Mango Drink 2 Ltr,,110,15%,25.00%,93.5,10.00%,11,82.5,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH8424,JH,Parle Agro,Parle Agro,8424,Frooti Cool Mango 600ml,,35,15%,37.86%,29.75,22.86%,8,21.75,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH23168,JH,Parle Agro,Parle Agro,23168,Appy Fizz 600ml,,40,15%,27.50%,34,12.50%,5,29,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH68872,JH,Kellogg's India,Kellogg's,68872,Kelloggs Chocos Variety pack 7N 140g,,70,11.50%,15.79%,61.95,4.29%,3,58.95,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH10178,JH,Kellogg's India,Kellogg's,10178,Kelloggs Corn Flakes Original 900g,,375,11.50%,18.43%,331.88,6.93%,25.99,305.89,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH2587,JH,Kellogg's India,Kellogg's,2587,KELLOGS CORNFLAKE CHOCOS 675g,,293,11.50%,17.98%,259.31,6.48%,18.99,240.32,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH2888,JH,Kellogg's India,Kellogg's,2888,Kelloggs MG Chocos 1.10Kg,,489,11.50%,18.45%,432.77,6.95%,33.99,398.78,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH11294,JH,Kellogg's India,Kellogg's,11294,Kelloggs Muesli Fruit & Nut 750g,,489,11.50%,17.63%,432.77,6.13%,29.98,402.79,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH11500,JH,Kellogg's India,Kellogg's,11500,Kelloggs Oats 900g,,199,11.50%,26.07%,176.12,14.57%,28.99,147.12,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH4797,JH,Kellogg's India,Kellogg's,4797,Kelloggs Muesli With 20% Nuts Delight 500g,,365,11.50%,16.71%,323.03,5.21%,19.02,304.01,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH2777,JH,Kellogg's India,Kellogg's,2777,Kelloggs Muesli Fruit & Nut 500g,,365,11.50%,16.71%,323.03,5.21%,19.02,304.01,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102269,JH,Kellogg's India,Kellogg's,102269,KELLOGG'S CHOCOLATE MUESLI 75G PP,,52,11.50%,18.23%,46.02,6.73%,3.5,42.52,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102268,JH,Kellogg's India,Kellogg's,102268,KELLOGG'S CHOCOLATE MUESLI 450G PP,,355,11.50%,24.74%,314.18,13.24%,47,267.17,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102420,JH,Kellogg's India,Kellogg's,102420,Pringles Desi Masala Tadka Crisps 40g,,53,11.50%,17.16%,46.91,5.66%,3,43.91,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH24252,JH,Kellogg's India,Kellogg's,24252,Pringles Desi Masala Tadka Flavour Chips 102g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH90599,JH,Kellogg's India,Kellogg's,90599,Pringles Original Potato Crisps 40g,,53,11.50%,17.16%,46.91,5.66%,3,43.91,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102421,JH,Kellogg's India,Kellogg's,102421,PRINGLES POTATO CRISPS ORIGINAL 107g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH24254,JH,Kellogg's India,Kellogg's,24254,Pringles Peri Peri 102g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH90600,JH,Kellogg's India,Kellogg's,90600,Pringles Sour Cream & Onion Flavour Potato Chips 40 g,,53,11.50%,17.16%,46.91,5.66%,3,43.91,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH29964,JH,Kellogg's India,Kellogg's,29964,Pringles Sour Cream & Onion Flavour Chips 107g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH92753,JH,Kellogg's India,Kellogg's,92753,Pringles Tangy Tomato Twist Flavour Chips 102 g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH81696,JH,Agro Tech Foods,Agro Tech Foods,81696,Act II Golden Sizzle Instant Popcorn 60g*3N Combo Pack,,60,15.25%,25.25%,50.85,10.00%,6,44.85,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH69319,JH,Agro Tech Foods,Agro Tech Foods,69319,Act II Popcorn Classic Salted 60*3 g,,60,15.25%,25.25%,50.85,10.00%,6,44.85,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH71853,JH,Agro Tech Foods,Agro Tech Foods,71853,Act II Butter Delite Party Pack Instant Popcorn 150g Pack of 3,,125,15.25%,23.25%,105.94,8.00%,10,95.94,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH3069,JH,Agro Tech Foods,Agro Tech Foods,3069,Sundrop Peanut Butter Regular Creamy Jar 924g,,275,15.25%,24.34%,233.06,9.09%,25,208.06,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH3070,JH,Agro Tech Foods,Agro Tech Foods,3070,Sundrop Peanut Butter Regular Crunchy Jar 924g,,275,15.25%,24.34%,233.06,9.09%,25,208.06,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH81414,JH,Agro Tech Foods,Agro Tech Foods,81414,Act II Sour Cream & Cheese Popcorn 50g,,37,15.25%,34.17%,31.36,18.92%,7,24.36,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH103892,JH,Agro Tech Foods,Agro Tech Foods,103892,ACT II RTE Hot & Spicy Popcorn 50 gm,,37,15.25%,34.17%,31.36,18.92%,7,24.36,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102467,JH,Sona Biscuits Ltd.,Sobisco,102467,SOBISCO Breakfast Blueberry biscuits 168 g,,60,25.00%,37.00%,45,12%,7.2,37.8,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102466,JH,Sona Biscuits Ltd.,Sobisco,102466,SOBISCO Breakfast cinnamon biscuits 168 g,,60,25.00%,37.00%,45,12%,7.2,37.8,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH2950,JH,Sona Biscuits Ltd.,Sobisco,2950,SOBISCO Breakfast golden oats biscuits 168 g,,60,25.00%,37.00%,45,12%,7.2,37.8,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH95036,JH,Sona Biscuits Ltd.,Sobisco,95036,Sobisco Choco Puff Sandwich Biscuits 125 g,,20,25.00%,30.00%,15,5%,1,14,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102465,JH,Sona Biscuits Ltd.,Sobisco,102465,SOBISCO Choco treat cream biscuits 200 g,,30,25.00%,32.00%,22.5,7%,2.1,20.4,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH92264,JH,Sona Biscuits Ltd.,Sobisco,92264,SOBISCO Choco vanilla puff cream biscuits 125 g,,20,25.00%,30.00%,15,5%,1,14,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH95030,JH,Sona Biscuits Ltd.,Sobisco,95030,SOBISCO Cream cracker biscuits 300 g,,40,25.00%,30.00%,30,5%,2,28,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH27182,JH,Sona Biscuits Ltd.,Sobisco,27182,SOBISCO Desire butter biscuits 300 g,,40,25.00%,32.00%,30,7%,2.8,27.2,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH95032,JH,Sona Biscuits Ltd.,Sobisco,95032,SOBISCO Desire kaju butter biscuits 300 g,,40,25.00%,32.00%,30,7%,2.8,27.2,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH95029,JH,Sona Biscuits Ltd.,Sobisco,95029,SOBISCO Desire milk biscuits 220 g,,30,25.00%,30.00%,22.5,5%,1.5,21,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH102468,JH,Sona Biscuits Ltd.,Sobisco,102468,SOBISCO digestive biscuits 200 g,,55,25.00%,30.00%,41.25,5%,2.75,38.5,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
FMCGF,JH46627,JH,Sona Biscuits Ltd.,Sobisco,46627,SOBISCO Hum Tum Kracker biscuits 65 g,,10,25.00%,30.00%,7.5,5%,0.5,7,OFF Invoice,Ok,,,,,,,,,,,,,,,,,
