source,Key,State,Marketed By,Brand,Item Code,Item Name,System MRP,MRP by Vendor,GKM (TOT Margin),GRN Margin,April invoice Landing,April Offer %,April Offer Rs.,April Final Landing,Promo Type,Category,Sub Category,Leaf Category,Apr 26 invoice Landing,Apr 26 Offer %,Apr 26 Offer Rs.,Apr 26 Final Landing,Offer Link,On Pack Selling Price,KEY,STATE,item_code,item_name,master_category,category,sub_category,tez_store_id,store_name,city,state,business_type,offer_creation_date,offer_id,group_id,campaign_name,title,offer_code,display_name,type,channel,offer_start,offer_end,offer_amountreward,offer_percentagereward,MRP,OFFER VALUE,FINAL SP WITH OFFER
FMCGF,JH73474,JH,Hul,Hul,73474,Horlicks Health & Nutrition Drink Chocolate 1 Kg Jar,,480,7.04%,13.29%,446.21,6.25%,30,416.21,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH12835,JH,Hul,Hul,12835,Horlicks Lite Nourishment For Active Adults 450g,,349,7.04%,11.62%,324.43,4.58%,16,308.43,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH2828,JH,Hul,Hul,2828,Horlicks Womens Plus Caramel Flavour 400g,,299,7.04%,10.05%,277.95,3.01%,9,268.95,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH30253,JH,Hul,Hul,30253,Horlicks Health & Nutrition Drink Classic Malt 750g,,405,7.04%,20.62%,376.49,13.58%,55,321.49,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH96577,JH,Hul,Hul,96577,Knorr Red Chilli Sauce Pouch 200g,,55,7.04%,25.22%,51.13,18.18%,10,41.13,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH13663,JH,Hul,Hul,13663,Horlicks Health & Nutrition Drink Chocolate Flavour 1 Kg,,499,7.04%,12.85%,463.87,5.81%,29,434.87,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH43181,JH,Hul,Hul,43181,Kissan No Onion No Garlic Tomato Sauce Pouch | 850g,,130,7.04%,14.73%,120.85,7.69%,10,110.85,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH96576,JH,Hul,Hul,96576,Knorr Green Chilli Sauce Pouch 200g,,60,7.04%,23.71%,55.78,16.67%,10,45.78,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH70474,JH,Hul,Hul,70474,Horlicks Chocolate Delight Flavour 750g Pouch,,329,7.04%,23.45%,305.84,16.41%,54,251.84,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGF,JH4789,JH,Hul,Hul,4789,Horlicks Womens Plus chocolate Flavour 400g,,294,7.04%,10.10%,273.3,3.06%,9,264.3,ON Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
