item_code,item_name,master_cat,source,qty_sold_90d,sale_value_90d,qty_sold_30d,sale_value_30d,states
62,Huggies Wonder Pants M 54 Pcs,FMCGNF,FMCGF,1.0,320.0,,,JH
65,Huggies Wonder Pants M 38 Pcs,FMCGNF,FMCGF,13.0,4210.0,2.0,640.0,JH
70,Alo Frut Guava Aloevera Juice | 1 Ltr | Pack of 1,FMCGF,FMCGF,1.0,100.0,1.0,100.0,JH
81,Chings Secret Chowmein Hakka Noodles Masala - 20g,STPLS,FMCGF,41.0,409.5,19.0,190.0,"CG,JH"
83,Chings Secret Schezwan Chutney 145g,FMCGF,FMCGF,13.0,130.0,7.0,70.0,JH
84,Chings Dark Soya Sauce Pouch | 90g | Pack of 1,FMCGF,FMCGF,6179.0,144651.5,1976.0,43545.0,"CG,JH,WB"
85,Chings Green Chilli Sauce Pouch | 90g | Pack of 1,FMCGF,FMCGF,6229.0,145571.5,2063.0,45444.0,"CG,JH,WB"
86,Chings Hot & Sour Soup | 55g | Pack of 1,FMCGF,FMCGF,1811.0,54191.0,554.0,15963.0,"CG,JH,WB"
87,Chings Hot & Sour Instant Soup | 12g | Pack of 1,FMCGF,FMCGF,5395.0,52979.9,1381.0,12906.0,"CG,JH,WB"
88,Chings Manchow Soup | 55g | Pack of 1,FMCGF,FMCGF,1817.0,53334.07,596.0,16764.0,"CG,JH,WB"
89,Chings Mix Veg Soup | 55g | Pack of 1,FMCGF,FMCGF,1017.0,30474.0,236.0,7110.0,"CG,JH,WB"
90,Chings Paneer Chilli Miracle Masala - 20g,STPLS,FMCGF,7353.0,69727.18,2443.0,24401.75,"CG,JH,WB"
91,Chings Schezwan Fried Rice Masala - 20g,STPLS,FMCGF,10793.0,107297.89,3592.0,35882.0,"CG,JH,WB"
92,Chings Schezwan Chutney | 250g | Pack of 1,FMCGF,FMCGF,8214.0,594136.57,2546.0,187333.5,"CG,JH,WB"
93,Chings Schezwan Chutney Pouch | 30g | Pack of 1,FMCGF,FMCGF,7664.0,76533.4,2824.0,28223.65,"CG,JH,WB"
94,Chings Schezwan Stir Fry Sauce | 250g | Pack of 1,FMCGF,FMCGF,20.0,1255.5,7.0,400.5,"CG,JH,WB"
95,Chings Secret Dark Soy Sauce | 210g | Pack of 1,FMCGF,FMCGF,3797.0,179406.07,1330.0,59986.0,"CG,JH,WB"
96,Chings Secret Green Chilli Sauce | 190g | Pack of 1,FMCGF,FMCGF,4166.0,197237.0,1465.0,66134.0,"CG,JH,WB"
97,Chings Secret Hakka Veg Noodles | 140g | Pack of 1,FMCGF,FMCGF,8186.0,206701.03,3070.0,77168.2,"CG,JH,WB"
98,Chings Secret Hot Garlic Noodle | 60g | Pack of 1,FMCGF,FMCGF,1971.0,35707.0,758.0,12640.0,"CG,JH,WB"
100,Chings ManChow Instant Soup | 12g | Pack of 1,FMCGF,FMCGF,9212.0,90557.1,2078.0,19407.0,"CG,JH,WB"
101,Chings Secret Instant Soup Sweet Corn Veg Pouch | 13g | Pack of 1,FMCGF,FMCGF,3344.0,32873.0,771.0,7211.0,"CG,JH,WB"
102,Chings Secret Instant Soup Tomato Pouch | 15g | Pack of 1,FMCGF,FMCGF,2889.0,28433.0,669.0,6269.0,"CG,JH,WB"
103,Ching's Mix Veg Instant Soup | 12g | Pack of 1,FMCGF,FMCGF,2748.0,26911.5,708.0,6569.0,"CG,JH,WB"
104,Chings Secret Manchurian Instant Noodles | 60g | Pack of 1,FMCGF,FMCGF,2278.0,42807.0,926.0,16702.0,"CG,JH,WB"
105,Ching’s Secret Manchurian Noodles | 240g | Pack of 1,FMCGF,FMCGF,1236.0,82718.0,451.0,30583.5,"CG,JH,WB"
106,Chings Secret Miracal Masala Chilli Chicken 20g,STPLS,STPLS,1.0,10.0,,,JH
107,Chings Secret Red Chilli Sauce | 200g | Pack of 1,FMCGF,FMCGF,2580.0,122632.5,863.0,38928.0,"CG,JH,WB"
108,Chings Secret Red Chilli Sauce | 90g | Pack of 1,FMCGF,FMCGF,5774.0,134711.5,2040.0,44915.0,"CG,JH,WB"
109,Chings Secret Schezwan Noodle | 60g | Pack of 1,FMCGF,FMCGF,2124.0,39953.0,831.0,14999.0,"CG,JH,WB"
110,Ching’s Secret Schezwan Noodles | 240g | Pack of 1,FMCGF,FMCGF,646.0,40031.0,269.0,15611.5,"CG,JH,WB"
112,Chings Sweet Corn Soup | 55g | Pack of 1,FMCGF,FMCGF,552.0,16699.0,104.0,3114.0,"CG,JH,WB"
113,Chings Tomato Soup | 55g | Pack of 1,FMCGF,FMCGF,988.0,29838.54,193.0,5862.0,"CG,JH,WB"
114,Chings Veg Manchurian Masala - 20g,STPLS,FMCGF,5239.0,52291.14,1472.0,14685.5,"CG,JH,WB"
115,Ching’s Secret Hot Garlic Noodles | 240g | Pack of 1,FMCGF,FMCGF,991.0,66938.0,351.0,24079.5,"CG,JH,WB"
368,Sugar - 500g,STPLS,FMCGF,256.0,6400.0,67.0,1675.0,JH
369,Sugar - 1 Kg,STPLS,FMCGF,54776.0,2843997.0,19093.0,1011770.0,"CG,JH,WB"
370,Sugar - 2Kg,STPLS,FMCGF,1721.0,178986.0,620.0,64480.0,CG
379,RPC Aji No Moto Bulk,FMCGF,FMCGF,9.9,781.0,2.2,158.0,JH
382,Amawat Bulk,FMCGF,FMCGF,400.0,3155.0,68.0,635.0,JH
383,RPC Ararot Powder - Bulk,STPLS,FMCGF,82.85,4727.5,35.15,1802.5,JH
390,Chura Poha 1 Kg,STPLS,FMCGF,2842.0,170520.0,934.0,56040.0,CG
391,Arwa Basmati Chura - Bulk,STPLS,FMCGF,136.25,11083.75,10.25,871.25,JH
393,RPC Coconut Powder - Bulk,STPLS,FMCGF,18.08,8975.1,13.76,6927.23,JH
394,RPC Cutting Mishri - Bulk,STPLS,FMCGF,3.2,368.0,0.55,63.25,JH
398,RPC Gadi Dry Coconut Bulk,STPLS,FMCGF,106.18,10265.65,18.53,3927.38,JH
404,RPC Kabuli Chana - Bulk,STPLS,FMCGF,0.5,14.5,,,JH
406,RPC Kaju Tukda Four Bulk,STPLS,FMCGF,6.0,5220.0,6.0,5220.0,JH
411,RPC Lal Mirch Khada Without Stick Bulk,STPLS,FMCGF,19.58,5504.6,8.9,2615.75,JH
412,RPC Magaj Watermelon Seeds - Bulk,STPLS,FMCGF,9.5,7502.0,1.5,1080.0,JH
425,RPC Moong Green Sabut - Bulk,STPLS,FMCGF,19.0,2185.0,12.0,1380.0,JH
426,RPC Mungfali Peanut Red - Bulk,STPLS,FMCGF,86.2,16759.0,27.45,5844.0,JH
427,RPC Mungfali Peanut White - Bulk,STPLS,FMCGF,0.7,121.3,0.5,94.5,"CG,JH"
429,RPC Panch Foran - Bulk,STPLS,FMCGF,2.0,170.0,1.0,85.0,JH
430,RPC Pasta Macroni Bulk,FMCGF,FMCGF,8.0,160.0,2.0,40.0,JH
432,RPC Posta Bulk,STPLS,FMCGF,22.0,505.0,6.0,150.0,JH
440,RPC Sarso Yellow Sabut Bulk,STPLS,FMCGF,6.08,138.0,1.08,48.0,JH
450,RPC Til Black Seseme Black - Bulk,STPLS,FMCGF,0.73,240.9,0.1,33.0,JH
453,RPC Urad Black Sabut - Bulk,STPLS,FMCGF,2.0,320.0,2.0,320.0,JH
454,RPC Urad Dal Gota - Bulk,STPLS,FMCGF,107.5,14307.5,53.0,6890.0,JH
456,RPC Yeast Khamir Bulk,FMCGF,FMCGF,0.12,42.0,0.08,26.25,JH
640,Aji No Moto - 50g,STPLS,FMCGF,2958.0,57827.5,850.0,17011.0,"CG,JH,WB"
643,Ajwain - 50g,STPLS,FMCGF,13528.0,270309.6,4292.0,85655.6,"CG,JH,WB"
644,Ajwain - 100g,STPLS,FMCGF,16801.0,553586.7,4868.0,165781.0,"CG,JH,WB"
645,Almond Badaam - 100g,STPLS,FMCGF,11263.0,1373951.0,4050.0,505846.0,"CG,JH,WB"
646,Almond Badaam - 250g,STPLS,FMCGF,8487.0,2286212.0,2851.0,793500.0,"CG,JH,WB"
647,Almond Badaam - 500g,STPLS,FMCGF,3667.0,1742796.4,985.0,495059.0,"CG,JH,WB"
650,Arrowroot Powder - 500g,STPLS,FMCGF,3125.0,146869.32,1007.0,47597.0,"CG,JH"
651,Ararot Powder - 250g,STPLS,FMCGF,24.0,360.0,10.0,150.0,JH
652,Badi Elaichi - 100g,STPLS,FMCGF,1.0,288.0,1.0,288.0,CG
654,Badi Elaichi - 50g,STPLS,FMCGF,5574.0,872045.21,1862.0,292039.2,"CG,JH,WB"
657,Chana Dal - 1 Kg,STPLS,FMCGF,4269.0,442567.0,1461.0,153533.0,"CG,JH,WB"
658,Chana Dal - 500g,STPLS,FMCGF,5403.0,323772.0,2060.0,124644.0,"CG,JH,WB"
659,Kala Chana - 1kg,STPLS,FMCGF,8634.0,863514.0,3560.0,343190.0,"CG,JH,WB"
660,Kala Chana - 500g,STPLS,FMCGF,10785.0,561482.94,4468.0,224629.0,"CG,JH,WB"
661,Chiraunji Dana - 50g,STPLS,FMCGF,1064.0,148710.59,482.0,66329.4,"CG,JH,WB"
664,Chuhara Dry Dates - 250g,STPLS,FMCGF,4529.0,394794.1,1800.0,158610.4,"CG,JH,WB"
665,Chuhara Dry Date - 500g,STPLS,FMCGF,4861.0,797201.2,1664.0,276268.1,"CG,JH,WB"
667,Arwa Basmati Chura 500g,STPLS,FMCGF,10413.0,460615.0,2970.0,133615.0,JH
668,RPC Chura Poha - Bulk,STPLS,FMCGF,177.0,3894.0,5.0,110.0,JH
669,Chura Poha 500g,STPLS,FMCGF,17661.0,595089.6,5309.0,184784.6,"CG,JH,WB"
672,Clove Laung - 50g,STPLS,FMCGF,6297.0,443671.71,1939.0,140653.77,"CG,JH,WB"
673,Coconut Powder - 100g,STPLS,FMCGF,2579.0,116662.13,1102.0,49562.0,"CG,JH"
674,Coconut Powder - 250g,STPLS,FMCGF,1350.0,140078.0,605.0,63363.2,JH
675,Coconut Powder - 50g,STPLS,FMCGF,2.0,26.0,2.0,26.0,JH
676,Cutting Mishri - 100g,STPLS,FMCGF,5774.0,78435.1,2235.0,26997.0,"CG,JH"
677,Cutting Mishri - 250g,STPLS,FMCGF,4487.0,143582.0,1672.0,53702.0,"CG,JH"
678,Dalchini Cinnemon - 100g,STPLS,FMCGF,5.0,165.0,2.0,66.0,JH
680,Dalchini Cinnemon - 50g,STPLS,FMCGF,8448.0,247340.0,2873.0,84940.0,"CG,JH,WB"
681,Dhaniya Gota Sabut - 100g,STPLS,FMCGF,14799.0,402074.0,5142.0,142472.0,"CG,JH,WB"
682,Dhaniya Gota Sabut - 250g,STPLS,FMCGF,9766.0,573150.0,3219.0,195370.0,"CG,JH,WB"
683,Dhaniya Gota Sabut - 50g,STPLS,FMCGF,1.0,14.5,,,JH
684,Green Elaichi - 10g,STPLS,FMCGF,22480.0,1411770.0,7892.0,505340.0,"CG,JH,WB"
685,Green Elaichi - 100g,STPLS,FMCGF,20.0,8259.0,13.0,5466.0,"CG,JH"
686,Green Elaichi - 25g,STPLS,FMCGF,11436.0,1528812.2,3725.0,515115.0,"CG,JH,WB"
